year,strata,n,biomass,cv
2003,EGOA (701-1000 m),NA,NA,NA
2003,WGOA (501-700 m),4,5886.612012,0.2903261042060299
2003,WGOA (701-1000 m),NA,NA,NA
2005,CGOA (0-500 m),453,27428.881185000002,0.06805271281025692
2005,EGOA (0-500 m),175,22728.662957,0.06477922244348618
2005,WGOA (0-500 m),174,12350.881942,0.16300840805399597
2005,CGOA (501-700 m),11,6727.858835000001,0.12351211232064738
2005,CGOA (701-1000 m),6,8261.976824,0.19727835425880313
2005,EGOA (501-700 m),8,5107.554993,0.17566756850318865
2005,EGOA (701-1000 m),4,2408.04359,0.2556958949156842
2005,WGOA (501-700 m),4,6377.293162,0.08037894373990884
2005,WGOA (701-1000 m),2,3277.178262,0.23914590248432616
2007,CGOA (0-500 m),448,20909.498881,0.09056967223155492
2007,EGOA (0-500 m),131,25818.660885,0.10951188859758317
2007,WGOA (0-500 m),198,7619.415346000001,0.1398063317722847
2007,CGOA (501-700 m),13,8961.542697,0.1756844325875381
2007,CGOA (701-1000 m),9,7735.502509,0.14470850438842714
2007,EGOA (501-700 m),5,4857.718079,0.20302244891256085
2007,EGOA (701-1000 m),5,4241.299617000001,0.19056219557113008
2007,WGOA (501-700 m),5,2589.885188,0.14506478795862326
2007,WGOA (701-1000 m),2,1942.890011,0.09604414252551648
2009,CGOA (0-500 m),454,19722.356881,0.08776884976496359
2009,EGOA (0-500 m),150,19809.236645,0.06681448277894629
2009,WGOA (0-500 m),191,12464.207284,0.20740048720763576
2009,CGOA (501-700 m),9,5364.6037670000005,0.22540291744159466
2009,CGOA (701-1000 m),7,3469.2260029999998,0.3612126623029341
2009,EGOA (501-700 m),4,6820.374384000001,0.1386770975427141
2009,EGOA (701-1000 m),3,4820.787721,0.018687324996345962
2009,WGOA (501-700 m),3,5605.436514,0.22210352905217773
2009,WGOA (701-1000 m),2,719.366972,0.54882670296218
2011,CGOA (0-500 m),374,21172.390683,0.10889800458173642
2011,EGOA (0-500 m),119,24970.563772,0.09854123820643093
2011,WGOA (0-500 m),160,3545.925702,0.16309281186540162
2011,CGOA (501-700 m),9,6884.573574,0.13402956291549123
2011,CGOA (701-1000 m),NA,NA,NA
2011,EGOA (501-700 m),5,4334.288766,0.1842728555886583
2011,EGOA (701-1000 m),NA,NA,NA
2011,WGOA (501-700 m),3,2271.745078,0.6641784358195034
2011,WGOA (701-1000 m),NA,NA,NA
2013,CGOA (0-500 m),308,23868.249993,0.1225275024920506
2013,EGOA (0-500 m),95,25030.499775,0.1131589635388747
2013,WGOA (0-500 m),133,6476.119222,0.2031773118748782
2013,CGOA (501-700 m),5,8195.475182999999,0.2623643973637646
2013,CGOA (701-1000 m),NA,NA,NA
2013,EGOA (501-700 m),4,3568.837334,0.12076123931996542
2013,EGOA (701-1000 m),NA,NA,NA
2013,WGOA (501-700 m),3,2738.616392,0.08457827196557276
2013,WGOA (701-1000 m),NA,NA,NA
2015,CGOA (0-500 m),420,33025.462431,0.12514945683950032
2015,EGOA (0-500 m),139,22742.872213,0.1137988212915598
2015,WGOA (0-500 m),184,9652.67852,0.1630120782611225
2015,CGOA (501-700 m),7,4666.363793,0.12606989622458653
2015,CGOA (701-1000 m),7,7214.1479309999995,0.09058336949111988
2015,EGOA (501-700 m),6,4374.3609,0.3023278090392294
2015,EGOA (701-1000 m),3,3685.635859,0.005328145531453602
2015,WGOA (501-700 m),3,2732.710719,0.19538711697146677
2015,WGOA (701-1000 m),2,1147.150958,0.9861072201665761
2017,CGOA (0-500 m),291,28591.071423999998,0.10959763090843741
2017,EGOA (0-500 m),111,27820.259185,0.1321038292683984
2017,WGOA (0-500 m),123,12195.814136,0.20100898992502636
2017,CGOA (501-700 m),5,4844.502832,0.17194275235288628
2017,CGOA (701-1000 m),NA,NA,NA
2017,EGOA (501-700 m),4,4300.869131,0.15046278187125525
2017,EGOA (701-1000 m),NA,NA,NA
2017,WGOA (501-700 m),2,2739.598878,0.3869846893173134
2017,WGOA (701-1000 m),NA,NA,NA
2019,CGOA (0-500 m),293,27598.084303,0.10744543898512397
2019,EGOA (0-500 m),117,22253.151883,0.13808962920621598
2019,WGOA (0-500 m),121,10784.992929999999,0.13524980625978186
2019,CGOA (501-700 m),4,6014.597117,0.16720316586778433
2019,CGOA (701-1000 m),NA,NA,NA
2019,EGOA (501-700 m),4,3827.114481,0.17598792024072185
2019,EGOA (701-1000 m),NA,NA,NA
2019,WGOA (501-700 m),2,7991.696179,0.4804389117160959
2019,WGOA (701-1000 m),NA,NA,NA
2021,CGOA (0-500 m),287,21384.701093,0.13908635519160426
2021,EGOA (0-500 m),120,19104.328291,0.10322762953881966
2021,WGOA (0-500 m),112,10423.803064,0.36896413776228576
2021,CGOA (501-700 m),5,7600.500509,0.19127471083914507
2021,CGOA (701-1000 m),NA,NA,NA
2021,EGOA (501-700 m),3,5442.228223,0.21938804690914834
2021,EGOA (701-1000 m),NA,NA,NA
2021,WGOA (501-700 m),2,4268.715422,0.20060859578564313
2021,WGOA (701-1000 m),NA,NA,NA
